height,ts,gap_s,txs,counted_txs,bytes,fullness,fee_speck
594807,1787785650.0,6.0,2,2,11872,0.059360,2
594808,1787785656.001,6.000999927520752,0,0,0,0.000000,0
594809,1787785662.0,5.999000072479248,0,0,0,0.000000,0
594810,1787785668.0,6.0,0,0,0,0.000000,0
594811,1787785674.0,6.0,1,1,3723,0.018615,1
594812,1787785680.0,6.0,1,1,8149,0.040745,1
594813,1787785686.0,6.0,0,0,0,0.000000,0
594814,1787785692.0,6.0,1,1,3723,0.018615,1
594815,1787785698.0,6.0,0,0,0,0.000000,0
594816,1787785704.0,6.0,0,0,0,0.000000,0
594817,1787785710.0,6.0,2,2,11871,0.059355,2
594818,1787785716.001,6.000999927520752,0,0,0,0.000000,0
594819,1787785722.001,6.0,0,0,0,0.000000,0
594820,1787785728.0,5.999000072479248,1,1,3723,0.018615,1
594821,1787785734.0,6.0,0,0,0,0.000000,0
594822,1787785740.0,6.0,1,1,8148,0.040740,1
594823,1787785746.0,6.0,1,1,3723,0.018615,1
594824,1787785752.0,6.0,0,0,0,0.000000,0
594825,1787785758.001,6.000999927520752,0,0,0,0.000000,0
594826,1787785764.0,5.999000072479248,0,0,0,0.000000,0
594827,1787785770.0,6.0,2,2,11872,0.059360,2
594828,1787785776.0,6.0,0,0,0,0.000000,0
594829,1787785782.0,6.0,0,0,0,0.000000,0
594830,1787785788.0,6.0,0,0,0,0.000000,0
594831,1787785794.0,6.0,1,1,3723,0.018615,1
594832,1787785800.0,6.0,1,1,8147,0.040735,1
594833,1787785806.0,6.0,1,1,709,0.003545,1
594834,1787785812.0,6.0,1,1,3723,0.018615,1
594835,1787785818.0,6.0,0,0,0,0.000000,0
594836,1787785824.0,6.0,1,1,8149,0.040745,1
594837,1787785830.0,6.0,0,0,0,0.000000,0
594838,1787785836.0,6.0,0,0,0,0.000000,0
594839,1787785842.0,6.0,0,0,0,0.000000,0
594840,1787785848.0,6.0,0,0,0,0.000000,0
594841,1787785854.001,6.000999927520752,1,1,8149,0.040745,1
594842,1787785860.0,5.999000072479248,0,0,0,0.000000,0
594843,1787785866.0,6.0,0,0,0,0.000000,0
594844,1787785872.001,6.000999927520752,1,1,8352,0.041760,1
594845,1787785878.0,5.999000072479248,0,0,0,0.000000,0
594846,1787785884.0,6.0,2,2,12195,0.060975,2
594847,1787785890.0,6.0,0,0,0,0.000000,0
594848,1787785896.0,6.0,0,0,0,0.000000,0
594849,1787785902.0,6.0,0,0,0,0.000000,0
594850,1787785908.001,6.000999927520752,0,0,0,0.000000,0
594851,1787785914.0,5.999000072479248,1,1,8149,0.040745,1
594852,1787785920.0,6.0,0,0,0,0.000000,0
594853,1787785926.0,6.0,0,0,0,0.000000,0
594854,1787785932.001,6.000999927520752,0,0,0,0.000000,0
594855,1787785938.0,5.999000072479248,0,0,0,0.000000,0
594856,1787785944.0,6.0,1,1,8148,0.040740,1
594857,1787785950.001,6.000999927520752,0,0,0,0.000000,0
594858,1787785956.0,5.999000072479248,0,0,0,0.000000,0
594859,1787785962.0,6.0,0,0,0,0.000000,0
594860,1787785968.0,6.0,0,0,0,0.000000,0
594861,1787785974.0,6.0,0,0,0,0.000000,0
594862,1787785980.0,6.0,0,0,0,0.000000,0
594863,1787785986.001,6.000999927520752,0,0,0,0.000000,0
594864,1787785992.001,6.0,0,0,0,0.000000,0
594865,1787785998.001,6.0,0,0,0,0.000000,0
594866,1787786004.0,5.999000072479248,0,0,0,0.000000,0
594867,1787786010.0,6.0,0,0,0,0.000000,0
594868,1787786016.0,6.0,0,0,0,0.000000,0
594869,1787786022.001,6.000999927520752,0,0,0,0.000000,0
594870,1787786028.0,5.999000072479248,0,0,0,0.000000,0
594871,1787786034.0,6.0,0,0,0,0.000000,0
594872,1787786040.0,6.0,0,0,0,0.000000,0
594873,1787786046.0,6.0,0,0,0,0.000000,0
594874,1787786052.0,6.0,0,0,0,0.000000,0
594875,1787786058.0,6.0,0,0,0,0.000000,0
594876,1787786064.0,6.0,0,0,0,0.000000,0
594877,1787786070.0,6.0,0,0,0,0.000000,0
594878,1787786076.0,6.0,0,0,0,0.000000,0
594879,1787786082.0,6.0,0,0,0,0.000000,0
594880,1787786088.0,6.0,0,0,0,0.000000,0
594881,1787786094.0,6.0,0,0,0,0.000000,0
594882,1787786100.0,6.0,0,0,0,0.000000,0
594883,1787786106.0,6.0,0,0,0,0.000000,0
594884,1787786112.0,6.0,0,0,0,0.000000,0
594885,1787786118.001,6.000999927520752,0,0,0,0.000000,0
594886,1787786124.0,5.999000072479248,0,0,0,0.000000,0
594887,1787786130.0,6.0,0,0,0,0.000000,0
594888,1787786136.0,6.0,0,0,0,0.000000,0
594889,1787786142.0,6.0,0,0,0,0.000000,0
594890,1787786148.0,6.0,0,0,0,0.000000,0
594891,1787786154.0,6.0,0,0,0,0.000000,0
594892,1787786160.001,6.000999927520752,0,0,0,0.000000,0
594893,1787786166.0,5.999000072479248,0,0,0,0.000000,0
594894,1787786172.0,6.0,0,0,0,0.000000,0
594895,1787786178.0,6.0,0,0,0,0.000000,0
594896,1787786184.0,6.0,0,0,0,0.000000,0
594897,1787786190.001,6.000999927520752,0,0,0,0.000000,0
594898,1787786196.001,6.0,0,0,0,0.000000,0
594899,1787786202.0,5.999000072479248,0,0,0,0.000000,0
594900,1787786208.0,6.0,0,0,0,0.000000,0
594901,1787786214.0,6.0,0,0,0,0.000000,0
594902,1787786220.0,6.0,0,0,0,0.000000,0
594903,1787786226.001,6.000999927520752,0,0,0,0.000000,0
594904,1787786232.001,6.0,0,0,0,0.000000,0
594905,1787786238.0,5.999000072479248,0,0,0,0.000000,0
594906,1787786244.001,6.000999927520752,0,0,0,0.000000,0
594907,1787786250.0,5.999000072479248,0,0,0,0.000000,0
594908,1787786256.0,6.0,0,0,0,0.000000,0
594909,1787786262.0,6.0,0,0,0,0.000000,0
