height,ts,gap_s,txs,counted_txs,bytes,fullness,fee_speck
633689,1788019074.0,5.999000072479248,0,0,0,0.000000,0
633690,1788019080.0,6.0,0,0,0,0.000000,0
633691,1788019086.0,6.0,0,0,0,0.000000,0
633692,1788019092.0,6.0,0,0,0,0.000000,0
633693,1788019098.0,6.0,0,0,0,0.000000,0
633694,1788019104.0,6.0,0,0,0,0.000000,0
633695,1788019110.0,6.0,0,0,0,0.000000,0
633696,1788019116.001,6.000999927520752,0,0,0,0.000000,0
633697,1788019122.001,6.0,0,0,0,0.000000,0
633698,1788019128.0,5.999000072479248,0,0,0,0.000000,0
633699,1788019134.0,6.0,0,0,0,0.000000,0
633700,1788019140.001,6.000999927520752,0,0,0,0.000000,0
633701,1788019146.0,5.999000072479248,0,0,0,0.000000,0
633702,1788019152.001,6.000999927520752,0,0,0,0.000000,0
633703,1788019158.0,5.999000072479248,0,0,0,0.000000,0
633704,1788019164.0,6.0,0,0,0,0.000000,0
633705,1788019170.0,6.0,0,0,0,0.000000,0
633706,1788019176.0,6.0,0,0,0,0.000000,0
633707,1788019182.001,6.000999927520752,0,0,0,0.000000,0
633708,1788019188.0,5.999000072479248,0,0,0,0.000000,0
633709,1788019194.0,6.0,0,0,0,0.000000,0
633710,1788019200.0,6.0,0,0,0,0.000000,0
633711,1788019206.001,6.000999927520752,0,0,0,0.000000,0
633712,1788019212.0,5.999000072479248,0,0,0,0.000000,0
633713,1788019218.001,6.000999927520752,0,0,0,0.000000,0
633714,1788019224.0,5.999000072479248,0,0,0,0.000000,0
633715,1788019230.0,6.0,0,0,0,0.000000,0
633716,1788019236.001,6.000999927520752,0,0,0,0.000000,0
633717,1788019242.0,5.999000072479248,0,0,0,0.000000,0
633718,1788019248.0,6.0,0,0,0,0.000000,0
633719,1788019254.001,6.000999927520752,0,0,0,0.000000,0
633720,1788019260.0,5.999000072479248,0,0,0,0.000000,0
633721,1788019266.0,6.0,0,0,0,0.000000,0
633722,1788019272.001,6.000999927520752,0,0,0,0.000000,0
633723,1788019278.0,5.999000072479248,0,0,0,0.000000,0
633724,1788019284.0,6.0,0,0,0,0.000000,0
633725,1788019290.001,6.000999927520752,0,0,0,0.000000,0
633726,1788019296.0,5.999000072479248,0,0,0,0.000000,0
633727,1788019302.0,6.0,0,0,0,0.000000,0
633728,1788019308.001,6.000999927520752,0,0,0,0.000000,0
633729,1788019314.0,5.999000072479248,0,0,0,0.000000,0
633730,1788019320.0,6.0,0,0,0,0.000000,0
633731,1788019326.001,6.000999927520752,0,0,0,0.000000,0
633732,1788019332.0,5.999000072479248,0,0,0,0.000000,0
633733,1788019338.001,6.000999927520752,1,1,5901,0.005901,1
633734,1788019344.001,6.0,0,0,0,0.000000,0
633735,1788019350.0,5.999000072479248,0,0,0,0.000000,0
633736,1788019356.0,6.0,0,0,0,0.000000,0
633737,1788019362.001,6.000999927520752,0,0,0,0.000000,0
633738,1788019368.0,5.999000072479248,0,0,0,0.000000,0
633739,1788019374.0,6.0,0,0,0,0.000000,0
633740,1788019380.0,6.0,0,0,0,0.000000,0
633741,1788019386.0,6.0,0,0,0,0.000000,0
633742,1788019392.001,6.000999927520752,0,0,0,0.000000,0
633743,1788019398.0,5.999000072479248,0,0,0,0.000000,0
633744,1788019404.0,6.0,0,0,0,0.000000,0
633745,1788019410.0,6.0,0,0,0,0.000000,0
633746,1788019416.001,6.000999927520752,0,0,0,0.000000,0
633747,1788019422.0,5.999000072479248,0,0,0,0.000000,0
633748,1788019428.0,6.0,0,0,0,0.000000,0
633749,1788019434.0,6.0,0,0,0,0.000000,0
633750,1788019440.0,6.0,0,0,0,0.000000,0
633751,1788019446.0,6.0,0,0,0,0.000000,0
633752,1788019452.0,6.0,0,0,0,0.000000,0
633753,1788019458.0,6.0,0,0,0,0.000000,0
633754,1788019464.0,6.0,0,0,0,0.000000,0
633755,1788019470.0,6.0,0,0,0,0.000000,0
633756,1788019476.0,6.0,0,0,0,0.000000,0
633757,1788019482.0,6.0,0,0,0,0.000000,0
633758,1788019488.001,6.000999927520752,0,0,0,0.000000,0
633759,1788019494.0,5.999000072479248,0,0,0,0.000000,0
633760,1788019500.0,6.0,0,0,0,0.000000,0
633761,1788019506.0,6.0,0,0,0,0.000000,0
633762,1788019512.0,6.0,0,0,0,0.000000,0
633763,1788019518.0,6.0,0,0,0,0.000000,0
633764,1788019524.0,6.0,0,0,0,0.000000,0
633765,1788019530.0,6.0,0,0,0,0.000000,0
633766,1788019536.0,6.0,0,0,0,0.000000,0
633767,1788019542.0,6.0,0,0,0,0.000000,0
633768,1788019548.0,6.0,0,0,0,0.000000,0
633769,1788019554.001,6.000999927520752,0,0,0,0.000000,0
633770,1788019560.0,5.999000072479248,0,0,0,0.000000,0
633771,1788019566.0,6.0,0,0,0,0.000000,0
633772,1788019572.0,6.0,0,0,0,0.000000,0
633773,1788019578.0,6.0,0,0,0,0.000000,0
633774,1788019584.0,6.0,0,0,0,0.000000,0
633775,1788019590.0,6.0,0,0,0,0.000000,0
633776,1788019596.0,6.0,0,0,0,0.000000,0
633777,1788019602.0,6.0,0,0,0,0.000000,0
633778,1788019608.0,6.0,0,0,0,0.000000,0
633779,1788019614.001,6.000999927520752,0,0,0,0.000000,0
633780,1788019620.001,6.0,0,0,0,0.000000,0
633781,1788019626.0,5.999000072479248,0,0,0,0.000000,0
633782,1788019632.0,6.0,0,0,0,0.000000,0
633783,1788019638.0,6.0,0,0,0,0.000000,0
633784,1788019644.0,6.0,0,0,0,0.000000,0
633785,1788019650.0,6.0,0,0,0,0.000000,0
633786,1788019656.0,6.0,0,0,0,0.000000,0
633787,1788019662.001,6.000999927520752,0,0,0,0.000000,0
633788,1788019668.0,5.999000072479248,0,0,0,0.000000,0
633789,1788019674.0,6.0,0,0,0,0.000000,0
633790,1788019680.0,6.0,0,0,0,0.000000,0
633791,1788019686.0,6.0,0,0,0,0.000000,0
633792,1788019692.0,6.0,0,0,0,0.000000,0
633793,1788019698.001,6.000999927520752,0,0,0,0.000000,0
633794,1788019704.001,6.0,0,0,0,0.000000,0
633795,1788019710.0,5.999000072479248,0,0,0,0.000000,0
633796,1788019716.0,6.0,0,0,0,0.000000,0
633797,1788019722.0,6.0,0,0,0,0.000000,0
633798,1788019728.0,6.0,0,0,0,0.000000,0
633799,1788019734.0,6.0,0,0,0,0.000000,0
633800,1788019740.0,6.0,0,0,0,0.000000,0
633801,1788019746.0,6.0,0,0,0,0.000000,0
633802,1788019752.0,6.0,0,0,0,0.000000,0
