height,ts,gap_s,txs,counted_txs,bytes,fullness,fee_speck
638075,1788045402.0,5.999000072479248,10,10,37221,0.037221,10
638076,1788045408.001,6.000999927520752,6,6,22330,0.022330,6
638077,1788045414.001,6.0,16,16,59560,0.059560,16
638078,1788045420.0,5.999000072479248,10,10,37228,0.037228,10
638079,1788045426.001,6.000999927520752,11,11,40946,0.040946,11
638080,1788045432.0,5.999000072479248,4,4,14891,0.014891,4
638081,1788045438.0,6.0,18,18,67001,0.067001,18
638082,1788045444.001,6.000999927520752,10,10,37221,0.037221,10
638083,1788045450.001,6.0,10,10,37228,0.037228,10
638084,1788045456.0,5.999000072479248,8,8,29771,0.029771,8
638085,1788045462.0,6.0,12,12,44673,0.044673,12
638086,1788045468.0,6.0,17,17,63499,0.063499,17
638087,1788045474.0,6.0,2,2,7445,0.007445,2
638088,1788045480.001,6.000999927520752,16,16,59551,0.059551,16
638089,1788045486.0,5.999000072479248,3,3,11169,0.011169,3
638090,1788045492.0,6.0,11,11,40940,0.040940,11
638091,1788045498.0,6.0,17,17,63277,0.063277,17
638092,1788045504.0,6.0,9,9,33507,0.033507,9
638093,1788045510.0,6.0,6,6,22335,0.022335,6
638094,1788045516.0,6.0,13,13,48607,0.048607,13
638095,1788045522.0,6.0,12,12,44879,0.044879,12
638096,1788045528.0,6.0,12,12,44673,0.044673,12
638097,1788045534.0,6.0,8,8,29783,0.029783,8
638098,1788045540.0,6.0,10,10,37222,0.037222,10
638099,1788045546.0,6.0,14,14,52323,0.052323,14
638100,1788045552.0,6.0,13,13,48396,0.048396,13
638101,1788045558.0,6.0,6,6,22338,0.022338,6
638102,1788045564.0,6.0,11,11,41156,0.041156,11
638103,1788045570.001,6.000999927520752,16,16,59550,0.059550,16
638104,1788045576.001,6.0,8,8,29782,0.029782,8
638105,1788045582.0,5.999000072479248,11,11,40950,0.040950,11
638106,1788045588.0,6.0,7,7,26053,0.026053,7
638107,1788045594.001,6.000999927520752,14,14,52104,0.052104,14
